Symbol,AssetType,Name,Description,CIK,Exchange,Currency,Country,Sector,Industry,Address,OfficialSite,FiscalYearEnd,LatestQuarter,MarketCapitalization,EBITDA,PERatio,PEGRatio,BookValue,DividendPerShare,DividendYield,EPS,RevenuePerShareTTM,ProfitMargin,OperatingMarginTTM,ReturnOnAssetsTTM,ReturnOnEquityTTM,RevenueTTM,GrossProfitTTM,DilutedEPSTTM,QuarterlyEarningsGrowthYOY,QuarterlyRevenueGrowthYOY,AnalystTargetPrice,AnalystRatingStrongBuy,AnalystRatingBuy,AnalystRatingHold,AnalystRatingSell,AnalystRatingStrongSell,TrailingPE,ForwardPE,PriceToSalesRatioTTM,PriceToBookRatio,EVToRevenue,EVToEBITDA,Beta,52WeekHigh,52WeekLow,50DayMovingAverage,200DayMovingAverage,SharesOutstanding,DividendDate,ExDividendDate,PricePerShare
AAPL,Common Stock,Apple Inc,"Apple Inc. is an American multinational technology company that specializes in consumer electronics, computer software, and online services. Apple is the world's largest technology company by revenue (totalling $274.5 billion in 2020) and, since January 2021, the world's most valuable company. As of 2021, Apple is the world's fourth-largest PC vendor by unit sales, and fourth-largest smartphone manufacturer. It is one of the Big Five American information technology companies, along with Amazon, Google, Microsoft, and Facebook.",320193,NASDAQ,USD,USA,TECHNOLOGY,ELECTRONIC COMPUTERS,"ONE INFINITE LOOP, CUPERTINO, CA, US",https://www.apple.com,September,2024-09-30,3863447077000,134660997000,42.04,2.337,3.767,0.98,0.0039,6.08,25.48,0.24,0.312,0.215,1.574,391034995000,170782000000,6.08,-0.341,0.061,246.85,8,24,12,1,2,42.04,34.36,9.88,67.84,9.99,29.0,1.24,260.1,163.49,236.89,212.62,15115800000,2024-11-14,2024-11-08,255.59
NVDA,Common Stock,NVIDIA Corporation,"Nvidia Corporation is an American multinational technology company incorporated in Delaware and based in Santa Clara, California. It designs graphics processing units (GPUs) for the gaming and professional markets, as well as system on a chip units (SoCs) for the mobile computing and automotive market.",1045810,NASDAQ,USD,USA,MANUFACTURING,SEMICONDUCTORS & RELATED DEVICES,"2701 SAN TOMAS EXPRESSWAY, SANTA CLARA, CA, US",https://www.nvidia.com,January,2024-10-31,3355374780000,61184000000,54.15,0.982,1.744,0,0.0003,2.53,3.91,0.55,0.621,0.553,1.238,96307003000,44301000000,2.53,1.68,1.224,172.8,12,48,4,0,0,54.15,32.05,34.84,50.92,29.37,44.44,1.657,152.88,47.31,139.95,117.38,24490000000,2024-12-27,2024-09-12,137.01
MSFT,Common Stock,Microsoft Corporation,"Microsoft Corporation is an American multinational technology company which produces computer software, consumer electronics, personal computers, and related services. Its best known software products are the Microsoft Windows line of operating systems, the Microsoft Office suite, and the Internet Explorer and Edge web browsers. Its flagship hardware products are the Xbox video game consoles and the Microsoft Surface lineup of touchscreen personal computers. Microsoft ranked No. 21 in the 2020 Fortune 500 rankings of the largest United States corporations by total revenue; it was the world's largest software maker by revenue as of 2016. It is considered one of the Big Five companies in the U.S. information technology industry, along with Google, Apple, Amazon, and Facebook.",789019,NASDAQ,USD,USA,TECHNOLOGY,SERVICES-PREPACKAGED SOFTWARE,"ONE MICROSOFT WAY, REDMOND, WA, US",https://www.microsoft.com,June,2024-09-30,3200938934000,136551997000,35.58,2.26,38.69,3.08,0.0077,12.1,34.2,0.356,0.466,0.146,0.356,254189994000,165359000000,12.1,0.104,0.16,508.55,13,37,5,0,0,35.58,32.68,12.59,11.13,12.53,22.82,0.904,466.57,363.78,428.32,425.14,7434880000,2025-03-13,2025-02-20,430.53
AMZN,Common Stock,Amazon.com Inc,"Amazon.com, Inc. is an American multinational technology company which focuses on e-commerce, cloud computing, digital streaming, and artificial intelligence. It is one of the Big Five companies in the U.S. information technology industry, along with Google, Apple, Microsoft, and Facebook. The company has been referred to as one of the most influential economic and cultural forces in the world, as well as the world's most valuable brand.",1018724,NASDAQ,USD,USA,TRADE & SERVICES,RETAIL-CATALOG & MAIL-ORDER HOUSES,"410 TERRY AVENUE NORTH, SEATTLE, WA, US",https://www.aboutamazon.com,December,2024-09-30,2352731390000,111583003000,47.81,1.834,24.66,None,None,4.68,59.49,0.0804,0.11,0.0707,0.226,620127977000,225152000000,4.68,0.521,0.11,240.39,17,46,4,0,0,47.81,35.71,3.794,9.08,3.869,21.14,1.146,233,144.05,208.56,189.3,10515000000,None,None,223.75
GOOG,Common Stock,Alphabet Inc Class C,"Alphabet Inc. is an American multinational conglomerate headquartered in Mountain View, California. It was created through a restructuring of Google on October 2, 2015, and became the parent company of Google and several former Google subsidiaries. The two co-founders of Google remained as controlling shareholders, board members, and employees at Alphabet. Alphabet is the world's fourth-largest technology company by revenue and one of the world's most valuable companies.",1652044,NASDAQ,USD,USA,TECHNOLOGY,"SERVICES-COMPUTER PROGRAMMING, DATA PROCESSING, ETC.","1600 AMPHITHEATRE PARKWAY, MOUNTAIN VIEW, CA, US",https://abc.xyz,December,2024-09-30,2366666965000,123469996000,25.7,1.258,25.61,0.4,0.0041,7.55,27.44,0.277,0.323,0.165,0.321,339859014000,156633000000,7.55,0.366,0.151,210.38,14,37,10,0,0,25.7,21.83,6.96,7.56,6.77,18.16,1.034,202.88,131.08,178.41,170.51,5534000000,2024-12-16,2024-12-09,427.66
GOOGL,Common Stock,Alphabet Inc Class A,"Alphabet Inc. is an American multinational conglomerate headquartered in Mountain View, California. It was created through a restructuring of Google on October 2, 2015, and became the parent company of Google and several former Google subsidiaries. The two co-founders of Google remained as controlling shareholders, board members, and employees at Alphabet. Alphabet is the world's fourth-largest technology company by revenue and one of the world's most valuable companies.",1652044,NASDAQ,USD,USA,TECHNOLOGY,"SERVICES-COMPUTER PROGRAMMING, DATA PROCESSING, ETC.","1600 AMPHITHEATRE PARKWAY, MOUNTAIN VIEW, CA, US",https://abc.xyz,December,2024-09-30,2366649401000,123469996000,25.57,1.25,25.61,0.4,0.0042,7.54,27.44,0.277,0.323,0.165,0.321,339859014000,156633000000,7.54,0.366,0.151,211.12,14,37,11,0,0,25.57,21.69,6.96,7.51,6.77,18.16,1.034,201.42,130.19,176.83,169.01,5843000000,2024-12-16,2024-12-09,405.04
META,Common Stock,Meta Platforms Inc.,"Meta Platforms, Inc. develops products that enable people to connect and share with friends and family through mobile devices, PCs, virtual reality headsets, wearables and home devices around the world. The company is headquartered in Menlo Park, California.",1326801,NASDAQ,USD,USA,TECHNOLOGY,"SERVICES-COMPUTER PROGRAMMING, DATA PROCESSING, ETC.","1601 WILLOW ROAD, MENLO PARK, CA, US",https://investor.fb.com,December,2024-09-30,1514214392000,79208997000,28.33,1.339,65.19,1.5,0.0033,21.17,61.43,0.355,0.428,0.172,0.361,156226994000,92855000000,21.17,0.374,0.189,654.06,12,47,8,0,2,28.33,23.64,9.69,9.2,9.55,18.96,1.215,637.89,338.72,587.32,527.07,2180000000,2024-12-27,2024-12-16,694.59
TSLA,Common Stock,Tesla Inc,"Tesla, Inc. is an American electric vehicle and clean energy company based in Palo Alto, California. Tesla's current products include electric cars, battery energy storage from home to grid-scale, solar panels and solar roof tiles, as well as other related products and services. In 2020, Tesla had the highest sales in the plug-in and battery electric passenger car segments, capturing 16% of the plug-in market (which includes plug-in hybrids) and 23% of the battery-electric (purely electric) market. Through its subsidiary Tesla Energy, the company develops and is a major installer of solar photovoltaic energy generation systems in the United States. Tesla Energy is also one of the largest global suppliers of battery energy storage systems, with 3 GWh of battery storage supplied in 2020.",1318605,NASDAQ,USD,USA,MANUFACTURING,MOTOR VEHICLES & PASSENGER CAR BODIES,"3500 DEER CREEK RD, PALO ALTO, CA, US",https://www.tesla.com,December,2024-09-30,1385654518000,13244000000,117.62,5.24,21.81,None,None,3.67,30.46,0.131,0.108,0.0476,0.204,97150001000,20853000000,3.67,0.17,0.078,283.88,5,13,17,8,5,117.62,125,14.26,19.81,14.05,98.65,2.295,488.54,138.8,338.59,236.36,3210060000,None,None,431.66
TSM,Common Stock,Taiwan Semiconductor Manufacturing,"Taiwan Semiconductor Manufacturing Company, Limited is a Taiwanese multinational semiconductor contract manufacturing and design company. It is one of Taiwan's largest companies, the world's most valuable semiconductor company, and the world's largest dedicated independent (pure-play) semiconductor foundry, with its headquarters and main operations located in the Hsinchu Science Park in Hsinchu, Taiwan. It is majority owned by foreign investors.",1046179,NYSE,USD,USA,MANUFACTURING,SEMICONDUCTORS & RELATED DEVICES,"NO. 8, LI-HSIN ROAD 6, SCIENCE-BASED INDUSTRIAL PARK, HSINCHU, TW",https://www.tsmc.com,December,2024-09-30,1045764047000,1797362418000,32.57,1.307,153.89,15.5,0.0138,6.19,63.91,0.391,0.475,0.124,0.28,2651375796000,1348354806000,6.19,0.541,0.39,232.4,4,12,1,0,0,32.57,22.88,0.394,8.58,9.96,13.98,1.232,211.93,97.42,195.57,169.83,5186550000,2025-04-10,2025-03-18,201.63
AVGO,Common Stock,Broadcom Inc,"Broadcom Inc. is an American designer, developer, manufacturer and global supplier of a wide range of semiconductor and infrastructure software products. Broadcom's product offerings serve the data center, networking, software, broadband, wireless, and storage and industrial markets.",1730168,NASDAQ,USD,USA,MANUFACTURING,SEMICONDUCTORS & RELATED DEVICES,"1320 RIDDER PARK DRIVE, SAN JOSE, CA, US",https://www.broadcom.com,October,2024-10-31,1133169345000,22958000000,188.87,0.685,59.22,0,0.0117,1.28,10.43,0.109,0.318,0.077,0.125,46814999000,24947000000,1.28,1.881,0.164,237.19,8,29,5,0,0,188.87,38.17,24.21,16.74,23.1,49.89,1.187,251.21,102.77,184.78,159.43,4687360000,2024-12-31,2024-09-19,241.75
